,GEOID,Median Income
187,15000US060014065002,68438.0
188,15000US060014065003,39537.0
189,15000US060014065004,37946.0
190,15000US060014066011,46693.0
191,15000US060014066012,47642.0
192,15000US060014066013,51389.0
193,15000US060014066014,53553.0
194,15000US060014066021,64018.0
195,15000US060014066022,47368.0
196,15000US060014067001,132056.0
197,15000US060014067002,157847.0
198,15000US060014067003,44677.0
199,15000US060014067004,113038.0
200,15000US060014067005,70795.0
201,15000US060014068001,142083.0
202,15000US060014068002,97393.0
203,15000US060014068003,81635.0
204,15000US060014068004,61000.0
205,15000US060014069001,128393.0
206,15000US060014069002,107750.0
207,15000US060014069003,46523.0
208,15000US060014070001,50833.0
209,15000US060014070002,57019.0
210,15000US060014070003,62713.0
211,15000US060014070004,37882.0
212,15000US060014070005,26280.0
213,15000US060014071011,49336.0
214,15000US060014071012,58589.0
215,15000US060014071021,46511.0
216,15000US060014071022,53393.0
217,15000US060014071023,57656.0
218,15000US060014071024,45000.0
219,15000US060014072001,32130.0
220,15000US060014072002,35682.0
221,15000US060014072003,43750.0
222,15000US060014072004,40469.0
223,15000US060014073001,76806.0
224,15000US060014073002,46908.0
225,15000US060014074001,53906.0
226,15000US060014074002,42019.0
227,15000US060014074003,38375.0
228,15000US060014075001,
229,15000US060014075002,22273.0
230,15000US060014075003,35833.0
231,15000US060014076001,82019.0
232,15000US060014076002,70250.0
233,15000US060014076003,24744.0
234,15000US060014076004,41734.0
235,15000US060014076005,42813.0
236,15000US060014077001,55125.0
237,15000US060014077002,58667.0
238,15000US060014077003,130458.0
239,15000US060014077004,73813.0
240,15000US060014078001,
241,15000US060014078002,93864.0
242,15000US060014078003,70795.0
243,15000US060014079001,112955.0
244,15000US060014079002,82991.0
245,15000US060014079003,101400.0
246,15000US060014080001,186875.0
247,15000US060014080002,153438.0
248,15000US060014081001,146600.0
249,15000US060014081002,87500.0
250,15000US060014081003,116786.0
251,15000US060014081004,99808.0
252,15000US060014082001,79934.0
253,15000US060014082002,28051.0
254,15000US060014082003,50823.0
255,15000US060014083001,90260.0
256,15000US060014083002,101607.0
257,15000US060014083003,133348.0
258,15000US060014083004,55691.0
259,15000US060014083005,39393.0
260,15000US060014084001,38750.0
261,15000US060014084002,25669.0
262,15000US060014084003,24293.0
263,15000US060014085001,38750.0
264,15000US060014085002,
265,15000US060014085003,48580.0
266,15000US060014085004,55189.0
267,15000US060014085005,56944.0
268,15000US060014086001,25884.0
269,15000US060014086002,43438.0
270,15000US060014086003,25069.0
271,15000US060014086004,31536.0
272,15000US060014087001,43382.0
273,15000US060014087002,60091.0
274,15000US060014087003,73242.0
275,15000US060014087004,22230.0
276,15000US060014087005,
277,15000US060014087006,42471.0
278,15000US060014088001,37946.0
279,15000US060014088002,21864.0
280,15000US060014088003,11406.0
281,15000US060014088004,25000.0
282,15000US060014089001,21955.0
283,15000US060014089002,32969.0
284,15000US060014090001,41793.0
285,15000US060014090002,
286,15000US060014090003,48681.0
287,15000US060014090004,
288,15000US060014091001,43295.0
289,15000US060014091002,35455.0
290,15000US060014092001,53707.0
291,15000US060014092002,42250.0
292,15000US060014093001,
293,15000US060014093002,40461.0
294,15000US060014093003,33563.0
295,15000US060014093004,42853.0
296,15000US060014094001,
297,15000US060014094002,47723.0
298,15000US060014094003,37938.0
299,15000US060014095001,24543.0
300,15000US060014095002,36346.0
301,15000US060014095003,39000.0
302,15000US060014096001,35179.0
303,15000US060014096002,30811.0
304,15000US060014096003,59875.0
305,15000US060014096004,47788.0
306,15000US060014096005,40125.0
307,15000US060014097001,32738.0
308,15000US060014097002,38125.0
309,15000US060014097003,36473.0
310,15000US060014097004,47159.0
311,15000US060014098001,101324.0
312,15000US060014098002,33352.0
313,15000US060014098003,86354.0
314,15000US060014099001,81989.0
315,15000US060014099002,81696.0
316,15000US060014099003,71541.0
317,15000US060014099004,146806.0
318,15000US060014100001,90125.0
319,15000US060014100002,117578.0
320,15000US060014100003,
321,15000US060014101001,63065.0
322,15000US060014101002,55385.0
323,15000US060014102001,59886.0
324,15000US060014102002,59327.0
325,15000US060014102003,38942.0
326,15000US060014103001,42500.0
327,15000US060014103002,45208.0
328,15000US060014103003,37462.0
329,15000US060014104001,70662.0
330,15000US060014104002,75714.0
331,15000US060014104003,48667.0
332,15000US060014105001,22596.0
333,15000US060014201001,107500.0
334,15000US060014201002,126667.0
335,15000US060014201003,112188.0
336,15000US060014202001,72344.0
337,15000US060014202002,98194.0
338,15000US060014202003,85875.0
339,15000US060014203001,79695.0
340,15000US060014203002,85788.0
341,15000US060014203003,107826.0
342,15000US060014204001,42054.0
343,15000US060014205001,82857.0
344,15000US060014205002,91563.0
345,15000US060014206001,144750.0
346,15000US060014206002,121023.0
347,15000US060014206003,92738.0
348,15000US060014211001,158750.0
349,15000US060014211002,163000.0
350,15000US060014212001,160139.0
351,15000US060014212002,164097.0
352,15000US060014212003,156458.0
353,15000US060014212004,124722.0
354,15000US060014213001,162563.0
355,15000US060014213002,113472.0
356,15000US060014213003,138056.0
357,15000US060014213004,174038.0
358,15000US060014214001,141500.0
