,GEOID,Married Present,Married Absent,Never Married,Divorced,Widowed
0,15000US060014001001,0.6056285178236398,0.028142589118198873,0.22664165103189493,0.07917448405253283,0.060412757973733584
1,15000US060014002001,0.5462555066079295,0.028634361233480177,0.2720264317180617,0.11233480176211454,0.040748898678414094
2,15000US060014002002,0.4069611780455154,0.0535475234270415,0.3949129852744311,0.09772423025435073,0.04685408299866131
3,15000US060014003001,0.5034347399411188,0.12266928361138371,0.30520117762512267,0.047105004906771344,0.021589793915603533
4,15000US060014003002,0.26023890784982934,0.017064846416382253,0.5554607508532423,0.06399317406143344,0.10324232081911262
5,15000US060014003003,0.24577226606538896,0.15107102593010147,0.37204058624577224,0.11724915445321307,0.11386696730552424
6,15000US060014003004,0.38807126258714175,0.07436096049573973,0.3284275755228505,0.10921766072811774,0.09992254066615028
7,15000US060014004001,0.44182262001627337,0.006509357200976403,0.47843775427176566,0.044751830756712775,0.028478437754271765
8,15000US060014004002,0.3634669151910531,0.0391425908667288,0.4575955265610438,0.097856477166822,0.04193849021435228
9,15000US060014004003,0.27086614173228346,0.1,0.4622047244094488,0.1346456692913386,0.03228346456692913
10,15000US060014005001,0.30710773357174787,0.0,0.5194456861868574,0.12337952615109522,0.05006705409029951
11,15000US060014005002,0.2982456140350877,0.04736842105263158,0.5964912280701754,0.017543859649122806,0.04035087719298246
12,15000US060014005003,0.24248927038626608,0.045064377682403435,0.575107296137339,0.13733905579399142,0.0
13,15000US060014006001,0.26819541375872386,0.09172482552342971,0.5533399800598205,0.05982053838484546,0.026919242273180457
14,15000US060014006002,0.3916849015317287,0.03938730853391685,0.3435448577680525,0.15536105032822758,0.0700218818380744
15,15000US060014007001,0.23447537473233404,0.011777301927194861,0.5867237687366167,0.08779443254817987,0.07922912205567452
16,15000US060014007002,0.3028919330289193,0.04033485540334855,0.5418569254185692,0.06316590563165905,0.0517503805175038
17,15000US060014007003,0.10198300283286119,0.0679886685552408,0.6189801699716714,0.16997167138810199,0.04107648725212465
18,15000US060014007004,0.2372549019607843,0.12254901960784313,0.47058823529411764,0.09705882352941177,0.07254901960784314
19,15000US060014008001,0.2923186344238976,0.07041251778093884,0.4615931721194879,0.1116642958748222,0.06401137980085349
20,15000US060014008002,0.22315202231520223,0.05718270571827057,0.5076708507670851,0.16875871687587168,0.043235704323570434
21,15000US060014008003,0.31462925851703405,0.09819639278557114,0.4438877755511022,0.13226452905811623,0.011022044088176353
22,15000US060014009001,0.33490122295390407,0.06302916274694262,0.47412982126058323,0.11006585136406397,0.017873941674506115
23,15000US060014009002,0.4007050528789659,0.03055229142185664,0.4383078730904818,0.07873090481786134,0.05170387779083431
24,15000US060014010001,0.40468909276248727,0.0,0.3577981651376147,0.1488277268093782,0.08868501529051988
25,15000US060014010002,0.2614879649890591,0.07221006564551423,0.40919037199124725,0.14332603938730853,0.1137855579868709
26,15000US060014010003,0.3013595166163142,0.12462235649546828,0.5143504531722054,0.022658610271903322,0.03700906344410876
27,15000US060014010004,0.22591943957968477,0.03677758318739054,0.6182136602451839,0.10332749562171628,0.01576182136602452
28,15000US060014010005,0.012315270935960592,0.0874384236453202,0.6834975369458128,0.1330049261083744,0.08374384236453201
29,15000US060014010006,0.13198573127229488,0.0,0.7324613555291319,0.09274673008323424,0.04280618311533888
30,15000US060014011001,0.5228310502283106,0.0,0.4223744292237443,0.0547945205479452,0.0
31,15000US060014011002,0.28110599078341014,0.030721966205837174,0.4861751152073733,0.1781874039938556,0.023809523809523808
32,15000US060014011003,0.19852941176470587,0.058823529411764705,0.5891544117647058,0.15349264705882354,0.0
33,15000US060014011004,0.22967863894139887,0.001890359168241966,0.5954631379962193,0.16729678638941398,0.005671077504725898
34,15000US060014012001,0.3250743310208127,0.018830525272547076,0.5193260654112983,0.12388503468780972,0.01288404360753221
35,15000US060014012002,0.36386449184441655,0.04140526976160602,0.49435382685069007,0.08155583437892096,0.018820577164366373
36,15000US060014012003,0.27167630057803466,0.04431599229287091,0.581888246628131,0.08670520231213873,0.015414258188824663
37,15000US060014013001,0.1622364802933089,0.06599450045829514,0.5591200733272227,0.12190650779101742,0.09074243813015583
38,15000US060014013002,0.049079754601226995,0.12699386503067484,0.592638036809816,0.17668711656441718,0.05460122699386503
39,15000US060014013003,0.3859332732191163,0.0369702434625789,0.46798917944093776,0.060414788097385035,0.04869251577998197
40,15000US060014014001,0.29860228716645487,0.08513341804320203,0.5158831003811944,0.10038119440914867,0.0
41,15000US060014014002,0.25650332728372655,0.07985480943738657,0.4724742891712039,0.10768300060496068,0.08348457350272233
42,15000US060014014003,0.052072263549415514,0.1339001062699256,0.6854410201912858,0.07863974495217853,0.04994686503719448
43,15000US060014015001,0.12294288480154889,0.11423039690222653,0.5256534365924492,0.1335914811229429,0.10358180058083252
44,15000US060014015002,0.18439716312056736,0.0524822695035461,0.624113475177305,0.08794326241134752,0.05106382978723404
45,15000US060014015003,0.07598784194528875,0.041033434650455926,0.7021276595744681,0.12917933130699089,0.05167173252279635
46,15000US060014016001,0.16629464285714285,0.06696428571428571,0.6183035714285714,0.12276785714285714,0.025669642857142856
47,15000US060014016002,0.28327228327228327,0.06715506715506715,0.5787545787545788,0.07081807081807082,0.0
48,15000US060014017001,0.37858220211161386,0.06033182503770739,0.5279034690799397,0.033182503770739065,0.0
49,15000US060014017002,0.24528301886792453,0.16778975741239893,0.4528301886792453,0.10377358490566038,0.03032345013477089
50,15000US060014017003,0.0,0.2647058823529412,0.7352941176470589,0.0,0.0
51,15000US060014018001,0.19131614654002713,0.08955223880597014,0.6132971506105834,0.029850746268656716,0.07598371777476255
52,15000US060014018002,0.059639389736477116,0.13730929264909847,0.624133148404993,0.08737864077669903,0.09153952843273232
53,15000US060014022001,0.24779874213836478,0.11069182389937107,0.4125786163522013,0.15471698113207547,0.07421383647798742
54,15000US060014022002,0.19456366237482117,0.04005722460658083,0.6695278969957081,0.04005722460658083,0.055793991416309016
55,15000US060014022003,0.3273809523809524,0.09325396825396826,0.503968253968254,0.061507936507936505,0.013888888888888888
56,15000US060014024001,0.2051792828685259,0.045816733067729085,0.6155378486055777,0.11752988047808766,0.01593625498007968
57,15000US060014024002,0.19735391400220506,0.07166482910694598,0.4807056229327453,0.11356119073869901,0.13671444321940462
58,15000US060014025001,0.2606741573033708,0.048314606741573035,0.5146067415730337,0.09662921348314607,0.07977528089887641
59,15000US060014025002,0.14435695538057744,0.06824146981627296,0.6509186351706037,0.11023622047244094,0.026246719160104987
60,15000US060014026001,0.37565674255691767,0.05516637478108581,0.43345008756567427,0.050788091068301226,0.08493870402802102
61,15000US060014027001,0.16204379562043797,0.03795620437956204,0.7226277372262774,0.06861313868613139,0.008759124087591242
62,15000US060014027002,0.25084745762711863,0.061016949152542375,0.5728813559322034,0.09491525423728814,0.020338983050847456
63,15000US060014028001,0.14385474860335196,0.10195530726256984,0.5034916201117319,0.210195530726257,0.040502793296089384
64,15000US060014028002,0.19230769230769232,0.057460611677479144,0.5885078776645042,0.07877664504170528,0.08294717330861909
65,15000US060014029001,0.1262135922330097,0.08961911874533234,0.5660941000746826,0.09858103061986558,0.11949215832710978
66,15000US060014030001,0.4724264705882353,0.027573529411764705,0.24019607843137256,0.08823529411764706,0.1715686274509804
67,15000US060014030002,0.43567482241515393,0.16732438831886345,0.22099447513812154,0.05288082083662194,0.12312549329123915
68,15000US060014031001,0.35834896810506567,0.09881175734834272,0.42401500938086306,0.07191994996873045,0.04690431519699812
69,15000US060014033001,0.29730983302411873,0.07467532467532467,0.5194805194805194,0.07699443413729128,0.03153988868274583
70,15000US060014033002,0.5019230769230769,0.15833333333333333,0.19487179487179487,0.03461538461538462,0.11025641025641025
71,15000US060014034001,0.3360655737704918,0.0117096018735363,0.3665105386416862,0.13114754098360656,0.15456674473067916
72,15000US060014034002,0.3306379155435759,0.03773584905660377,0.5148247978436657,0.11680143755615453,0.0
73,15000US060014034003,0.19047619047619047,0.0429732868757259,0.6062717770034843,0.0627177700348432,0.0975609756097561
74,15000US060014034004,0.1975609756097561,0.1016260162601626,0.5634146341463414,0.12276422764227642,0.014634146341463415
75,15000US060014035011,0.34270952927669346,0.04936854190585534,0.36739380022962115,0.09988518943742825,0.14064293915040182
