,Median Income
466,63958.0
467,125368.0
468,89583.0
469,43750.0
470,45481.0
471,54289.0
472,42538.0
473,41071.0
474,70239.0
475,84375.0
476,74500.0
477,116250.0
478,151823.0
479,107981.0
480,98214.0
481,70602.0
482,82220.0
483,84615.0
484,87045.0
485,80739.0
486,
487,80259.0
488,61250.0
489,68883.0
490,93036.0
491,143359.0
492,93750.0
493,45069.0
494,121047.0
495,81713.0
496,41641.0
497,62847.0
498,145592.0
499,95438.0
500,95972.0
501,125000.0
502,159261.0
503,120357.0
504,105756.0
505,136250.0
506,84798.0
507,62000.0
508,69679.0
509,66298.0
510,82614.0
511,79600.0
512,60754.0
513,96852.0
514,71563.0
515,33438.0
516,94625.0
517,136250.0
518,123945.0
519,117583.0
520,157143.0
521,121886.0
522,83889.0
523,106375.0
524,98691.0
525,110238.0
526,111042.0
527,110250.0
528,122031.0
529,110375.0
530,103800.0
531,48188.0
532,56994.0
533,100625.0
534,51009.0
535,92000.0
536,112391.0
537,98281.0
538,97939.0
539,101250.0
540,95234.0
541,118795.0
542,73829.0
543,61186.0
544,71790.0
545,45273.0
546,50667.0
547,74554.0
548,67778.0
549,46538.0
550,65134.0
551,52051.0
552,67051.0
553,90673.0
554,77321.0
555,129500.0
556,44009.0
557,75972.0
558,59643.0
559,75379.0
560,58000.0
561,99306.0
562,55972.0
563,70938.0
564,53125.0
565,68594.0
566,64205.0
567,54219.0
568,71563.0
569,56071.0
570,60116.0
571,70156.0
572,50938.0
573,67115.0
574,
575,56080.0
576,118333.0
577,71250.0
578,75139.0
579,172222.0
580,92000.0
581,75774.0
582,73281.0
583,59922.0
584,65664.0
585,67361.0
586,65682.0
587,91691.0
588,50714.0
589,37198.0
590,42841.0
591,41280.0
592,51086.0
593,52857.0
594,58780.0
595,37119.0
596,70750.0
597,81012.0
598,65478.0
599,63864.0
600,47111.0
601,88083.0
602,77661.0
603,60906.0
604,64342.0
605,104408.0
606,118243.0
607,68214.0
608,66563.0
609,83594.0
610,92981.0
611,79808.0
612,77716.0
613,47146.0
614,76023.0
615,47596.0
616,70395.0
617,75446.0
618,58214.0
619,55583.0
620,36481.0
621,50982.0
622,106442.0
623,41578.0
624,36842.0
625,39688.0
626,40989.0
627,39792.0
628,57083.0
629,24500.0
630,105882.0
631,130040.0
632,193333.0
633,142891.0
634,181469.0
635,62163.0
636,48049.0
637,47000.0
638,88750.0
639,99964.0
640,113086.0
641,56280.0
642,75556.0
643,46574.0
644,43611.0
645,82813.0
646,41688.0
647,64881.0
648,24073.0
649,53542.0
650,53618.0
651,55268.0
652,68750.0
653,66094.0
654,52663.0
655,64301.0
656,99639.0
657,86250.0
658,74191.0
659,78750.0
660,64545.0
661,94444.0
662,58462.0
663,97578.0
664,100766.0
665,74519.0
666,90660.0
667,101250.0
668,73902.0
669,80515.0
670,87250.0
671,77955.0
672,69375.0
673,38750.0
674,61395.0
675,31402.0
676,70329.0
677,49531.0
678,107000.0
679,110391.0
680,89135.0
681,65341.0
682,70184.0
683,
684,122952.0
685,121463.0
686,46346.0
687,62917.0
688,58194.0
689,67340.0
690,60192.0
691,40323.0
692,45625.0
693,117344.0
694,71316.0
695,51375.0
696,89079.0
697,55000.0
698,72554.0
699,75962.0
700,53597.0
701,66838.0
702,90850.0
703,70769.0
704,129653.0
705,95167.0
706,61591.0
707,27188.0
708,90801.0
709,86706.0
710,65574.0
711,160179.0
712,84444.0
713,84909.0
714,84338.0
715,46591.0
716,86250.0
717,87857.0
718,66625.0
719,51806.0
720,55217.0
721,56536.0
722,98958.0
723,
724,58571.0
725,36625.0
726,42113.0
727,57650.0
728,80242.0
729,73917.0
730,73750.0
731,58750.0
732,85703.0
733,62548.0
734,130682.0
735,115089.0
736,
737,128456.0
738,95250.0
739,77440.0
740,64449.0
741,60938.0
742,86688.0
743,61528.0
744,64830.0
745,61319.0
746,52632.0
747,66389.0
748,60144.0
749,64231.0
750,77305.0
751,66581.0
752,82500.0
753,67500.0
754,74583.0
755,57262.0
756,69250.0
757,54844.0
758,48839.0
759,72386.0
760,130139.0
761,99034.0
762,72961.0
763,83246.0
764,111071.0
765,101250.0
766,113456.0
767,113409.0
768,77279.0
769,80924.0
770,40804.0
771,103882.0
772,85156.0
773,86379.0
774,78750.0
775,82426.0
776,56964.0
777,91250.0
778,51691.0
779,158487.0
780,164583.0
781,158313.0
782,108424.0
783,114347.0
784,109891.0
785,183984.0
786,90838.0
787,69531.0
788,81071.0
789,80114.0
790,89167.0
791,70333.0
792,112833.0
793,152348.0
794,183750.0
795,115921.0
796,131607.0
797,79417.0
798,98393.0
799,116071.0
800,100692.0
801,108654.0
802,129667.0
803,121513.0
804,132064.0
805,109934.0
806,136250.0
807,150917.0
808,122873.0
809,140536.0
810,176094.0
811,146875.0
812,161563.0
813,111250.0
814,64141.0
815,161429.0
816,83500.0
817,90057.0
818,110469.0
819,127016.0
820,166250.0
821,166250.0
822,150972.0
823,129286.0
824,106875.0
825,113295.0
826,100755.0
827,125905.0
828,75852.0
829,
830,76625.0
831,126000.0
832,95618.0
833,79545.0
834,91250.0
835,98750.0
836,120714.0
837,171833.0
838,156100.0
839,109566.0
840,49737.0
841,90385.0
842,89435.0
843,128621.0
844,111438.0
845,109625.0
846,105665.0
847,122318.0
848,92614.0
849,73125.0
850,84269.0
851,87418.0
852,110662.0
853,152371.0
854,196964.0
855,156429.0
856,175294.0
857,157703.0
858,175109.0
859,141827.0
860,175735.0
861,100398.0
862,68036.0
863,84440.0
864,91154.0
865,53036.0
866,82974.0
867,86607.0
868,112905.0
869,93750.0
870,102173.0
871,91771.0
872,60948.0
873,73242.0
874,69643.0
875,129421.0
876,122167.0
877,63750.0
878,140366.0
879,138214.0
880,102500.0
881,82361.0
882,97336.0
883,101603.0
884,89665.0
885,88153.0
886,155962.0
887,100121.0
888,57852.0
889,85726.0
890,94688.0
891,208786.0
892,142639.0
893,153500.0
894,137955.0
895,210769.0
896,220000.0
897,140000.0
898,121667.0
899,124836.0
900,145703.0
901,162208.0
902,189706.0
903,250001.0
904,141111.0
905,147852.0
906,122361.0
907,113620.0
908,156250.0
909,136484.0
910,108542.0
911,152961.0
912,79688.0
913,
914,78068.0
915,99583.0
916,86366.0
917,91900.0
918,119286.0
919,44009.0
920,101094.0
921,80474.0
922,96034.0
923,74091.0
924,94167.0
925,122375.0
926,70109.0
927,88106.0
928,94083.0
929,105767.0
930,104875.0
931,86219.0
932,128731.0
933,132649.0
934,
935,149760.0
936,114265.0
937,112200.0
938,77125.0
939,115496.0
940,107969.0
941,86654.0
942,92250.0
943,93906.0
944,
945,109773.0
946,141927.0
947,157500.0
948,78125.0
949,150938.0
950,106538.0
951,154107.0
952,133929.0
953,129038.0
954,143551.0
955,106607.0
956,142639.0
957,126667.0
958,130000.0
959,172083.0
960,97721.0
961,167083.0
962,153500.0
963,131583.0
964,141771.0
965,109722.0
966,169758.0
967,210078.0
968,142500.0
969,73500.0
970,103958.0
971,
972,150263.0
973,198750.0
974,232000.0
975,112500.0
976,54331.0
977,151875.0
978,116250.0
979,160000.0
980,107235.0
981,154211.0
982,89409.0
983,131875.0
984,141765.0
985,166875.0
986,139091.0
987,93500.0
988,145231.0
989,103929.0
990,184539.0
991,177093.0
992,151161.0
993,125844.0
994,119922.0
995,225769.0
996,149342.0
997,170284.0
998,95221.0
999,95294.0
1000,82431.0
1001,130921.0
1002,102011.0
1003,116818.0
1004,117450.0
1005,97734.0
1006,97383.0
1007,52238.0
1008,165536.0
1009,55750.0
1010,95000.0
1011,111667.0
1012,106583.0
1013,73986.0
1014,46903.0
1015,54659.0
1016,159167.0
1017,105130.0
1018,71667.0
1019,125870.0
1020,47283.0
1021,110563.0
1022,189875.0
1023,141600.0
1024,103214.0
1025,51653.0
1026,94714.0
1027,158250.0
1028,48203.0
1029,90653.0
1030,151108.0
1031,155938.0
1032,105139.0
1033,99167.0
1034,103875.0
1035,93051.0
1036,157083.0
1037,106000.0
1038,122361.0
1039,69007.0
1040,105714.0
1041,160417.0
1042,131250.0
1043,59583.0
1044,62734.0
1045,50676.0
1046,51324.0
1047,44113.0
1048,55370.0
1049,49688.0
1050,38553.0
1051,58371.0
1052,60492.0
1053,70063.0
1054,62917.0
1055,72188.0
1056,60850.0
1057,77950.0
1058,52455.0
1059,55689.0
1060,59911.0
1061,70625.0
1062,63708.0
1063,21118.0
1064,53194.0
1065,34939.0
1066,49512.0
1067,93958.0
1068,74286.0
1069,38750.0
1070,61790.0
1071,45859.0
1072,60139.0
1073,41250.0
1074,61993.0
1075,34938.0
1076,78633.0
1077,50592.0
1078,29535.0
1079,65250.0
1080,28352.0
1081,42050.0
1082,92016.0
1083,49135.0
1084,38060.0
1085,39104.0
1086,23814.0
1087,41250.0
1088,27359.0
1089,28011.0
1090,42778.0
1091,29607.0
1092,54904.0
1093,109141.0
1094,67279.0
1095,39583.0
1096,84067.0
1097,64750.0
1098,80893.0
1099,85074.0
1100,18529.0
1101,65298.0
1102,22147.0
1103,12314.0
1104,15833.0
1105,71250.0
1106,71136.0
1107,49295.0
1108,26304.0
1109,32446.0
1110,
1111,14885.0
1112,14485.0
1113,10903.0
1114,
1115,60882.0
1116,23618.0
1117,39260.0
1118,48984.0
1119,46076.0
1120,48826.0
1121,69637.0
1122,
1123,86613.0
1124,43482.0
1125,60938.0
1126,
1127,84310.0
1128,54444.0
1129,46806.0
1130,44405.0
1131,48027.0
1132,87118.0
1133,69612.0
1134,53203.0
1135,
1136,
1137,32500.0
1138,
1139,38846.0
1140,16568.0
1141,16034.0
1142,52042.0
1143,26419.0
1144,14118.0
1145,22902.0
1146,18516.0
1147,25435.0
1148,40726.0
1149,20404.0
1150,34583.0
1151,41250.0
1152,25048.0
1153,14310.0
1154,108571.0
1155,58596.0
1156,34722.0
1157,133942.0
1158,82854.0
1159,72794.0
1160,74833.0
1161,
