,geoid,race_white,race_black,race_american-indian,race_asian,race_native-hawaiian,race_other,race_multiracial
13944,15000US060650505004,0.5964590964590964,0.013431013431013432,0.0,0.09401709401709402,0.0,0.2606837606837607,0.03540903540903541
13945,15000US060650505005,0.6416475972540046,0.13340961098398169,0.0,0.1297482837528604,0.008695652173913044,0.029290617848970253,0.057208237986270026
13946,15000US060650506001,0.9645283018867925,0.0,0.0,0.009056603773584906,0.0,0.0,0.026415094339622643
13947,15000US060650506002,0.7698081734778982,0.07422852376980818,0.0,0.10758965804837364,0.0,0.03252710592160134,0.0158465387823186
13948,15000US060650506003,0.5909407665505226,0.21045296167247388,0.0,0.0,0.0,0.0,0.1986062717770035
13949,15000US060650506004,0.8553719008264463,0.04926891290527654,0.004450095359186269,0.040050858232676415,0.0,0.04132231404958678,0.009535918626827717
13950,15000US060650507001,0.4504437869822485,0.13498520710059173,0.0,0.11427514792899408,0.017381656804733726,0.13609467455621302,0.14681952662721892
13951,15000US060650507002,0.479297365119197,0.037222919280635716,0.0807193642827269,0.11250522793810121,0.0037641154328732747,0.08448347971560016,0.20200752823086573
13952,15000US060650507003,0.5820629578301326,0.07919223916056227,0.0019798059790140567,0.04019006137398535,0.00910710750346466,0.20550386062165907,0.08196396753118194
13953,15000US060650507004,0.6568668626627467,0.11843763124737505,0.0,0.08903821923561529,0.004199916001679967,0.11045779084418311,0.020999580008399833
13954,15000US060650509001,0.6046511627906976,0.14304519526107942,0.0035103115401491883,0.031592803861342694,0.00307152259763054,0.14348398420359806,0.07064501974550241
13955,15000US060650509002,0.7312633832976445,0.14668094218415417,0.0,0.0904710920770878,0.0,0.02676659528907923,0.004817987152034261
13956,15000US060650509003,0.5152625152625152,0.03907203907203907,0.0,0.31013431013431014,0.0,0.05982905982905983,0.0757020757020757
13957,15000US060650511001,0.32199312714776634,0.25876288659793817,0.0,0.140893470790378,0.0,0.2604810996563574,0.017869415807560136
13958,15000US060650511002,0.3573200992555831,0.2947339398952302,0.0,0.029225255031706646,0.0,0.27129859387923905,0.047422111938240974
13959,15000US060650512001,0.6046438657044242,0.028867273297772198,0.009413241292751805,0.08597427047379981,0.0,0.2259177910260433,0.04518355820520866
13960,15000US060650512002,0.8528198074277854,0.0,0.0,0.11004126547455295,0.0,0.024759284731774415,0.012379642365887207
13961,15000US060650513001,0.7263917525773196,0.010515463917525773,0.019175257731958762,0.004329896907216495,0.002474226804123711,0.19917525773195877,0.03793814432989691
13962,15000US060650513002,0.7141902428157719,0.05925595901091557,0.06192916016930274,0.04767208732457118,0.0,0.05970149253731343,0.057251058142125194
13963,15000US060650514001,0.889281507656066,0.07145661562622693,0.0,0.0,0.0,0.0,0.0392618767177071
13964,15000US060650514002,0.9649551752241239,0.0,0.0,0.0,0.03504482477587612,0.0,0.0
13965,15000US060650514003,0.9845230574857865,0.008843967150979154,0.0,0.0066329753632343655,0.0,0.0,0.0
13966,15000US060659401001,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13967,15000US060659401002,0.9382716049382716,0.0,0.0,0.0,0.06172839506172839,0.0,0.0
13968,15000US060659404001,0.3029100529100529,0.003401360544217687,0.0,0.0015117157974300832,0.0,0.6897203325774754,0.0024565381708238853
13969,15000US060659404002,0.29044117647058826,0.0009191176470588235,0.029411764705882353,0.0,0.0,0.6746323529411765,0.004595588235294118
13970,15000US060659405001,0.9425531914893617,0.02021276595744681,0.0,0.010638297872340425,0.005319148936170213,0.002127659574468085,0.019148936170212766
13971,15000US060659405002,0.9072543617998163,0.0,0.0073461891643709825,0.05234159779614325,0.009182736455463728,0.011019283746556474,0.012855831037649219
13972,15000US060659406001,0.8295852073963018,0.013993003498250875,0.01649175412293853,0.054972513743128434,0.0,0.029985007496251874,0.054972513743128434
13973,15000US060659406002,0.9734133790737565,0.0,0.0017152658662092624,0.007718696397941681,0.0,0.0017152658662092624,0.015437392795883362
13974,15000US060659407001,0.895852534562212,0.004608294930875576,0.008294930875576038,0.027649769585253458,0.0,0.01566820276497696,0.047926267281105994
13975,15000US060659407002,0.8876100203114421,0.011509817197020988,0.004739336492890996,0.037237643872714964,0.002031144211238998,0.03656059580230196,0.020311442112389978
13976,15000US060659408001,0.9082321187584346,0.012145748987854251,0.006747638326585695,0.043184885290148446,0.001349527665317139,0.008771929824561403,0.019568151147098516
13977,15000US060659408002,0.9492089925062448,0.00749375520399667,0.005828476269775187,0.017485428809325562,0.0033305578684429643,0.006661115736885929,0.009991673605328892
13978,15000US060659409001,0.8880208333333334,0.017361111111111112,0.0078125,0.016493055555555556,0.003472222222222222,0.03819444444444445,0.028645833333333332
13979,15000US060659409002,0.937007874015748,0.02230971128608924,0.006561679790026247,0.006561679790026247,0.0,0.013123359580052493,0.014435695538057743
13980,15000US060659410001,0.9451518119490695,0.012732615083251714,0.0,0.014691478942213516,0.0,0.02742409402546523,0.0
13981,15000US060659410002,0.914792899408284,0.011834319526627219,0.0035502958579881655,0.015384615384615385,0.0,0.01775147928994083,0.036686390532544376
13982,15000US060659410003,0.8634920634920635,0.0,0.015873015873015872,0.037037037037037035,0.0,0.021164021164021163,0.06243386243386243
13983,15000US060659410004,0.915938864628821,0.028384279475982533,0.008733624454148471,0.016375545851528384,0.0,0.012008733624454149,0.018558951965065504
13984,15000US060659411001,0.9573170731707317,0.0040650406504065045,0.0,0.016260162601626018,0.0,0.0040650406504065045,0.018292682926829267
13985,15000US060659411002,0.9712556732223904,0.0030257186081694403,0.0037821482602118004,0.01059001512859304,0.0,0.00529500756429652,0.006051437216338881
13986,15000US060659412001,0.6392896781354052,0.1076581576026637,0.003329633740288568,0.048834628190899,0.0,0.12874583795782463,0.07214206437291898
13987,15000US060659412002,0.920253164556962,0.0,0.012658227848101266,0.03670886075949367,0.013924050632911392,0.005063291139240506,0.01139240506329114
13988,15000US060659412003,0.9123434704830053,0.026833631484794274,0.0,0.016100178890876567,0.0,0.008944543828264758,0.03577817531305903
13989,15000US060659413001,0.8031268094962363,0.09496236247828604,0.0023161551823972205,0.04632310364794441,0.0028951939779965257,0.02895193977996526,0.021424435437174292
13990,15000US060659413002,0.8962628865979382,0.003865979381443299,0.013530927835051547,0.030283505154639175,0.002577319587628866,0.02577319587628866,0.027706185567010308
